UID,iso2,iso3,code3,confirmed_us,confirmed_death_us
84017027,US,USA,840,5754,90
84017029,US,USA,840,5670,94
84017031,US,USA,840,543658,10080
84017033,US,USA,840,2114,26
84017035,US,USA,840,1291,19
84017039,US,USA,840,1505,24
84017037,US,USA,840,9838,119
84017041,US,USA,840,2583,35
84017043,US,USA,840,90266,1277
84017045,US,USA,840,1696,39
84017047,US,USA,840,569,12
84017049,US,USA,840,4727,72
84017051,US,USA,840,3168,55
84017053,US,USA,840,1776,46
84017055,US,USA,840,4443,74
84017057,US,USA,840,3903,55
84017059,US,USA,840,458,4
84017061,US,USA,840,1436,33
84017063,US,USA,840,5866,75
84017065,US,USA,840,831,15
84017067,US,USA,840,1755,31
84017069,US,USA,840,386,12
84017071,US,USA,840,525,14
84017073,US,USA,840,4937,63
84017075,US,USA,840,2999,66
84017077,US,USA,840,5006,64
84017079,US,USA,840,1150,18
84017081,US,USA,840,4281,120
84017083,US,USA,840,2689,49
84017085,US,USA,840,1806,24
84017087,US,USA,840,1432,15
84017089,US,USA,840,58192,769
84017091,US,USA,840,14120,209
84017093,US,USA,840,12973,93
84017095,US,USA,840,5537,142
84017099,US,USA,840,12488,243
84017097,US,USA,840,66984,986
84017101,US,USA,840,2404,25
84017103,US,USA,840,4153,52
84017105,US,USA,840,4812,85
84017107,US,USA,840,3859,57
84017115,US,USA,840,10715,198
84017117,US,USA,840,4686,81
84017119,US,USA,840,30439,518
84017121,US,USA,840,4467,115
84017123,US,USA,840,1064,18
84017125,US,USA,840,1501,45
84017127,US,USA,840,1336,40
84017109,US,USA,840,2830,47
84017111,US,USA,840,28481,285
84017113,US,USA,840,18086,178
84017129,US,USA,840,1231,12
84017131,US,USA,840,1464,33
84017133,US,USA,840,4355,93
84017135,US,USA,840,3709,73
84017137,US,USA,840,3881,81
84017139,US,USA,840,1607,28
84017141,US,USA,840,6087,81
84080017,US,USA,840,2,0
84017143,US,USA,840,23019,305
84017145,US,USA,840,3160,60
84017147,US,USA,840,1486,14
84017149,US,USA,840,1786,52
84017151,US,USA,840,319,4
84017153,US,USA,840,688,7
84017155,US,USA,840,481,3
84017157,US,USA,840,4127,84
84017159,US,USA,840,1744,40
84017161,US,USA,840,14913,310
84017165,US,USA,840,2565,54
84017167,US,USA,840,18656,234
84017169,US,USA,840,743,5
84017171,US,USA,840,477,1
84017173,US,USA,840,2291,37
84017163,US,USA,840,27802,512
84017175,US,USA,840,634,23
84017177,US,USA,840,4738,82
84017179,US,USA,840,16884,282
84090017,US,USA,840,0,2356
84017181,US,USA,840,2257,40
84017183,US,USA,840,9575,132
84017185,US,USA,840,1345,12
84017187,US,USA,840,1796,46
84017189,US,USA,840,1639,25
84017191,US,USA,840,1770,52
84017193,US,USA,840,1693,26
84017195,US,USA,840,7142,171
84017197,US,USA,840,75240,989
84017199,US,USA,840,7404,129
84017201,US,USA,840,33017,472
84017203,US,USA,840,4718,76
84018001,US,USA,840,3413,54
84018003,US,USA,840,40668,678
84018005,US,USA,840,8070,156
84018007,US,USA,840,986,14
84018009,US,USA,840,1349,32
84018011,US,USA,840,6700,101
84018013,US,USA,840,1021,41
84018015,US,USA,840,1893,20
84018017,US,USA,840,5808,105
84018019,US,USA,840,12985,191
84018021,US,USA,840,2602,47
84018023,US,USA,840,4274,53
84018025,US,USA,840,998,14
84018027,US,USA,840,2973,99
84018033,US,USA,840,4284,85
84018029,US,USA,840,5813,78
84018031,US,USA,840,2854,92
84018035,US,USA,840,10696,186
84018037,US,USA,840,6156,117
84018039,US,USA,840,28577,442
84018041,US,USA,840,2807,62
84018043,US,USA,840,7669,178
84018045,US,USA,840,2123,46
84018047,US,USA,840,1681,35
84018049,US,USA,840,1954,40
84018051,US,USA,840,4354,92
84018053,US,USA,840,7060,174
84018055,US,USA,840,2789,85
84018057,US,USA,840,35629,408
84018059,US,USA,840,8284,141
84018061,US,USA,840,4358,72
84018063,US,USA,840,17244,315
84018065,US,USA,840,5720,103
84018067,US,USA,840,9924,216
84018069,US,USA,840,3919,80
84018071,US,USA,840,5017,73
84018073,US,USA,840,3660,47
84018075,US,USA,840,1951,30
84018077,US,USA,840,3309,81
84018079,US,USA,840,2301,49
84018081,US,USA,840,17970,379
84018083,US,USA,840,3719,90
84018085,US,USA,840,9410,117
84018087,US,USA,840,2667,70
84018091,US,USA,840,11928,211
84018089,US,USA,840,53771,970
84018093,US,USA,840,4546,120
84018095,US,USA,840,12673,339
84018097,US,USA,840,100003,1743
84018099,US,USA,840,6050,111
84018101,US,USA,840,891,15
84018103,US,USA,840,3818,66
84018105,US,USA,840,11893,170
84018107,US,USA,840,4241,89
84018109,US,USA,840,6576,139
84018111,US,USA,840,1078,34
84018113,US,USA,840,5613,84
84018115,US,USA,840,568,11
84018117,US,USA,840,1836,54
84080018,US,USA,840,0,0
84018119,US,USA,840,2002,56
84018121,US,USA,840,1463,16
84018123,US,USA,840,1830,37
84018125,US,USA,840,1343,34
84018127,US,USA,840,18776,308
84018129,US,USA,840,2715,33
84018131,US,USA,840,1168,45
84018133,US,USA,840,3607,60
84018135,US,USA,840,2407,81
84018137,US,USA,840,3397,70
84018139,US,USA,840,1734,25
84018143,US,USA,840,2663,54
84018145,US,USA,840,4919,96
84018147,US,USA,840,2321,31
84018141,US,USA,840,35733,552
84018149,US,USA,840,2166,54
84018151,US,USA,840,3878,57
84018153,US,USA,840,2119,42
84018155,US,USA,840,791,8
84018157,US,USA,840,22402,219
84018159,US,USA,840,1628,45
84090018,US,USA,840,0,416
84018161,US,USA,840,710,10
84018163,US,USA,840,22310,397
84018165,US,USA,840,1691,43
84018167,US,USA,840,12449,247
84018169,US,USA,840,3541,79
84018171,US,USA,840,821,15
84018173,US,USA,840,7784,155
84018175,US,USA,840,2407,32
84018177,US,USA,840,7051,199
84018179,US,USA,840,2915,81
84018181,US,USA,840,3143,54
84018183,US,USA,840,3961,39
84019001,US,USA,840,864,32
84019003,US,USA,840,338,4
84019005,US,USA,840,1511,51
84019007,US,USA,840,1280,49
84019009,US,USA,840,508,10
84019011,US,USA,840,2560,55
84019013,US,USA,840,15785,308
84019015,US,USA,840,2639,34
84019017,US,USA,840,2839,60
84019019,US,USA,840,1907,31
84019021,US,USA,840,4245,40
84019023,US,USA,840,1646,34
84019025,US,USA,840,1381,13
84019027,US,USA,840,2854,52
84019029,US,USA,840,1379,54
84019031,US,USA,840,1894,23
84019033,US,USA,840,5380,89
84019035,US,USA,840,1587,38
84019037,US,USA,840,1239,15
84019039,US,USA,840,999,24
84019041,US,USA,840,2153,25
84019043,US,USA,840,1692,56
84019045,US,USA,840,5543,93
84019047,US,USA,840,2658,40
84019049,US,USA,840,11161,98
84019051,US,USA,840,828,24
84019053,US,USA,840,608,9
84019055,US,USA,840,2092,40
84019057,US,USA,840,4543,66
84019059,US,USA,840,2478,43
84019061,US,USA,840,13355,209
84019063,US,USA,840,1340,40
84019065,US,USA,840,1848,41
84019067,US,USA,840,1603,42
84019069,US,USA,840,1193,21
84019071,US,USA,840,622,9
84019073,US,USA,840,776,10
84019075,US,USA,840,1362,33
84019077,US,USA,840,1210,30
84019079,US,USA,840,1794,49
84019081,US,USA,840,1476,34
84019083,US,USA,840,1849,43
84019085,US,USA,840,1793,73
84019087,US,USA,840,2911,37
84019089,US,USA,840,1045,22
84019091,US,USA,840,1188,26
84019093,US,USA,840,903,34
84019095,US,USA,840,1483,24
84019097,US,USA,840,2212,42
84019099,US,USA,840,4186,72
84019101,US,USA,840,1324,35
